HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
HGNC:3622	FKTN	ENSG00000106692	2218	607440	AR	DEE
HGNC:3754	FLNA	ENSG00000196924	2316	300017	XL	MCD
HGNC:3791	FOLR1	ENSG00000110195	2348	136430	AR	DEE
HGNC:3811	FOXG1	ENSG00000176165	2290	164874	AD	DEE
HGNC:3823	FOXP1	ENSG00000114861	27086	605515	AD	DEE
HGNC:26927	FOXRED1	ENSG00000110074	55572	613622	AR	DEE
HGNC:1162	FRA10AC1	ENSG00000148690	118924	608866	AR	DEE
HGNC:28214	FRMD5	ENSG00000171877	84978	616309	AD	DEE
HGNC:1362	FRRS1L	ENSG00000260230	23732	604574	AR	DEE
HGNC:4006	FUCA1	ENSG00000179163	2517	612280	AR	DEE
HGNC:4019	FUT8	ENSG00000033170	2530	602589	AR	DEE
HGNC:24824	FZR1	ENSG00000105325	51343	603619	AD	DEE
HGNC:4507	GABBR2	ENSG00000136928	9568	607340	AD	DEE
HGNC:4075	GABRA1	ENSG00000022355	2554	137160	AD	GGE, DEE
HGNC:4076	GABRA2	ENSG00000151834	2555	137140	AD	DEE
HGNC:4077	GABRA3	ENSG00000011677	2556	305660	XL	DEE
HGNC:4078	GABRA4	ENSG00000109158	2557	137141	AD	DEE
HGNC:4079	GABRA5	ENSG00000186297	2558	137142	AD	GGE, DEE
HGNC:4081	GABRB1	ENSG00000163288	2560	137190	AD	DEE
HGNC:4082	GABRB2	ENSG00000145864	2561	600232	AD	GGE, DEE
HGNC:4083	GABRB3	ENSG00000166206	2562	137192	AD	DEE
HGNC:4084	GABRD	ENSG00000187730	2563	137163	AD	GGE, DEE
HGNC:4087	GABRG2	ENSG00000113327	2566	137164	AD	GGE, DEE
HGNC:4092	GAD1	ENSG00000128683	2571	605363	AR	DEE
HGNC:4115	GALC	ENSG00000054983	2581	606890	AR	DEE
HGNC:4124	GALNT2	ENSG00000143641	2590	602274	AR	DEE
HGNC:4136	GAMT	ENSG00000130005	2593	601240	AR	DEE
HGNC:30778	GATAD2B	ENSG00000143614	57459	614998	AD	DEE
HGNC:4175	GATM	ENSG00000171766	2628	602360	AR	DEE
HGNC:4177	GBA1	ENSG00000177628	2629	606463	AR	DEE, PME
HGNC:4189	GCDH	ENSG00000105607	2639	608801	AR	DEE
HGNC:4193	GCH1	ENSG00000131979	2643	600225	AD/AR	DEE
HGNC:4208	GCSH	ENSG00000140905	2653	238330	AR	DEE
HGNC:4235	GFAP	ENSG00000131095	2670	137780	AD	DEE
HGNC:13780	GFM1	ENSG00000168827	85476	606639	AR	DEE
HGNC:4298	GLB1	ENSG00000170266	2720	611458	AR	DEE
HGNC:4313	GLDC	ENSG00000178445	2731	238300	AR	DEE
HGNC:4319	GLI3	ENSG00000106571	2737	165240	AD	DEE, MCD
HGNC:4331	GLS	ENSG00000115419	2744	138280	AR	DEE
HGNC:4335	GLUD1	ENSG00000148672	2746	138130	AD	DEE
HGNC:4341	GLUL	ENSG00000135821	2752	138290	AR	DEE
HGNC:24247	GLYCTK	ENSG00000168237	132158	610516	AR	DEE
HGNC:4367	GM2A	ENSG00000196743	2760	613109	AR	DEE
HGNC:22923	GMPPA	ENSG00000144591	29926	615495	AR	DEE
HGNC:22932	GMPPB	ENSG00000173540	29925	615320	AR	DEE
HGNC:4384	GNAI1	ENSG00000127955	2770	139310	AD	DEE
HGNC:4389	GNAO1	ENSG00000087258	2775	139311	AD	DEE
HGNC:4396	GNB1	ENSG00000078369	2782	139380	AD	DEE
HGNC:4401	GNB5	ENSG00000069966	10681	604447	AR	DEE
HGNC:4431	GOSR2	ENSG00000108433	9570	604027	AR	PME
HGNC:4433	GOT2	ENSG00000125166	2806	138150	AR	DEE
HGNC:4446	GPAA1	ENSG00000197858	8733	603048	AR	DEE
HGNC:15465	GPHN	ENSG00000171723	10243	603930	AR	DEE
HGNC:29501	GPSM2	ENSG00000121957	29899	609245	AR	MCD
HGNC:18062	GPT2	ENSG00000166123	84706	138210	AR	DEE
HGNC:4571	GRIA1	ENSG00000155511	2890	138248	AD/AR	DEE
HGNC:4572	GRIA2	ENSG00000120251	2891	138247	AD	DEE
HGNC:4573	GRIA3	ENSG00000125675	2892	305915	XL	DEE
HGNC:4574	GRIA4	ENSG00000152578	2893	138246	AD	DEE
HGNC:4580	GRIK2	ENSG00000164418	2898	138244	AD/AR	DEE
HGNC:4584	GRIN1	ENSG00000176884	2902	138249	AD	DEE, MCD
HGNC:4585	GRIN2A	ENSG00000183454	2903	138253	AD/AR	Focal, DEE, MCD
HGNC:4586	GRIN2B	ENSG00000273079	2904	138252	AD	DEE, MCD
HGNC:4588	GRIN2D	ENSG00000105464	2906	602717	AD	DEE
HGNC:4599	GRM7	ENSG00000196277	2917	604101	AR	DEE
HGNC:4601	GRN	ENSG00000030582	2896	138945	AR	PME
HGNC:4624	GSS	ENSG00000100983	2937	601002	AR	DEE
HGNC:4670	GTPBP2	ENSG00000172432	54676	607434	AR	DEE
HGNC:14880	GTPBP3	ENSG00000130299	84705	608536	AR	DEE
HGNC:4764	H3-3A	ENSG00000163041	3020	601128	AD	DEE
HGNC:4765	H3-3B	ENSG00000132475	3021	601058	AD	DEE
HGNC:21033	HACE1	ENSG00000085382	57531	610876	AR	DEE
HGNC:16915	HAX1	ENSG00000143575	10456	605998	AR	DEE, MCD
HGNC:4837	HCCS	ENSG00000004961	3052	300056	XL	DEE
HGNC:4839	HCFC1	ENSG00000172534	3054	300019	XL	DEE
HGNC:4845	HCN1	ENSG00000164588	348980	602780	AD	GGE, DEE
HGNC:4846	HCN2	ENSG00000099822	610	602781	AD	GGE
HGNC:13315	HDAC8	ENSG00000147099	55869	300269	XL	DEE
HGNC:29853	HECW2	ENSG00000138411	57520	617245	AD	DEE
