HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
NA	HLCS	ENSG00000159267	3141	609018	AR	DEE
NA	HMGCL	ENSG00000117305	3155	613898	AR	DEE
NA	HNRNPH1	ENSG00000169045	3187	601035	AD	DEE
NA	HNRNPH2	ENSG00000126945	3188	300610	XL	DEE
NA	HNRNPK	ENSG00000165119	3190	600712	AD	DEE, MCD
NA	HNRNPR	ENSG00000125944	10236	607201	AD	DEE
NA	HNRNPU	ENSG00000153187	3192	602869	AD	DEE
NA	HOXA1	ENSG00000105991	3198	142955	AR	DEE
NA	HPDL	ENSG00000186603	84842	618994	AR	DEE
NA	HPRT1	ENSG00000165704	3251	308000	XL	DEE
NA	HRAS	ENSG00000174775	3265	190020	AD	DEE
NA	HSD17B4	ENSG00000133835	3295	601860	AR	DEE, MCD
NA	HSPD1	ENSG00000144381	3329	118190	AD/AR	DEE, MCD
NA	HTRA2	ENSG00000115317	27429	606441	AR	DEE
NA	HTT	ENSG00000197386	3064	613004	AD	PME
NA	IARS2	ENSG00000067704	55699	612801	AR	DEE
NA	IBA57	ENSG00000181873	200205	615316	AR	DEE
NA	IDH2	ENSG00000182054	3418	147650	AR	DEE
NA	IER3IP1	ENSG00000134049	51124	609382	AR	DEE
NA	IFIH1	ENSG00000115267	64135	606951	AD	DEE, MCD
NA	IKBKG	ENSG00000269335	8517	300248	XL	DEE
HGNC:26052	INTS11	ENSG00000127054	54973	611354	AR	DEE
NA	INTS8	ENSG00000164941	55656	611351	AR	DEE, MCD
NA	IQSEC2	ENSG00000124313	23096	300522	XL	DEE
NA	IRF2BPL	ENSG00000119669	64207	611720	AD	DEE, PME
NA	ISCA1	ENSG00000135070	81689	611006	AR	DEE
NA	ITGB4	ENSG00000132470	3691	147557	AD	DEE
NA	ITPA	ENSG00000125877	3704	147520	AR	DEE
NA	JARID2	ENSG00000008083	3720	601594	AD	DEE
NA	JMJD1C	ENSG00000171988	221037	604503	AD	DEE
NA	KANSL1	ENSG00000120071	284058	612452	AD	DEE
NA	KARS1	ENSG00000065427	3735	601421	AR	DEE
